,WAP006,WAP015,WAP016,WAP059,WAP077,WAP078,WAP082,WAP083,WAP084,WAP085,WAP088,WAP089,WAP102,WAP107,WAP108,WAP109,WAP110,WAP111,WAP112,WAP113,WAP114,WAP115,WAP116,WAP148,WAP149,WAP164,WAP165,WAP174,WAP175,WAP176,WAP177,WAP178,WAP179,WAP180,WAP181,WAP186,WAP187,WAP188,WAP189,WAP248,WAP255,WAP256,WAP257,WAP258,WAP259,WAP260,WAP261,WAP262,WAP263,WAP274,WAP278,WAP282,WAP284,WAP286,WAP288,WAP295,WAP310,WAP311,WAP312,WAP313,WAP314,WAP315,WAP316,WAP317,WAP318,WAP329,WAP334,WAP338,WAP340,WAP342,WAP344,WAP351,WAP366,WAP367,WAP368,WAP369,WAP370,WAP371,WAP372,WAP374,WAP375,WAP386,WAP390,WAP394,WAP396,WAP398,WAP400,WAP405,WAP478,WAP503,LATITUDE,LONGITUDE,FLOOR,LOC,USERID,TIMESTAMP
5456,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,20,21,0,0,0,24,36,30,0,0,23,24,25,22,21,15,0,21,23,23,20,20,21,20,0,0,0,0,17,16,0,0,0,0,21,0,0,29,0,16,25,18,0,0,0,0,0,0,0,0,0,0,29,23,0,0,25,15,0,0,0,0,0,21,0,0,0,0,0,23,0,0,0,24,0,4864853.930299997,-7457.242100000381,2,212,9,1371714058
5457,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,22,22,20,0,0,0,0,0,0,0,28,28,38,38,0,0,24,23,0,0,24,24,30,30,0,29,0,0,0,22,0,0,25,0,0,20,0,0,0,26,0,25,0,0,0,0,0,0,24,15,0,29,0,0,0,26,0,19,0,0,0,21,0,0,26,0,0,26,0,0,0,26,0,0,0,4864834.110160768,-7469.328741654754,2,199,9,1371713930
5460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,0,0,0,0,27,31,30,0,0,24,23,29,28,0,0,0,0,0,32,17,17,20,20,0,0,0,0,0,25,15,0,0,0,0,0,0,27,0,21,30,0,0,0,0,0,0,23,0,0,23,0,0,28,0,18,30,0,0,0,0,21,15,0,0,0,0,0,0,26,0,22,26,0,16,4864853.930299997,-7457.242100000381,2,212,9,1371714707
5553,0,22,22,0,0,0,27,27,0,0,23,0,0,0,0,29,24,37,36,0,0,0,0,25,0,35,0,43,43,0,0,0,20,0,0,35,36,63,62,0,27,0,30,0,0,0,15,29,28,0,23,0,0,0,19,0,0,0,30,0,26,0,0,29,32,0,0,0,0,18,0,0,0,0,34,0,0,0,0,29,30,0,0,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,9,1371713821
5554,0,0,0,0,19,19,0,0,39,33,0,0,0,0,0,32,32,35,40,0,0,0,0,32,33,26,27,40,40,0,0,0,0,0,0,47,46,54,54,0,0,0,23,0,0,24,0,0,0,23,0,0,0,18,0,0,0,0,23,0,0,0,0,0,0,22,0,20,0,17,0,0,0,20,23,29,0,0,0,0,0,21,0,0,0,19,17,0,0,0,4864810.030100003,-7460.767900001259,2,205,9,1371713753
5555,0,23,26,0,0,0,28,27,0,0,0,0,0,0,0,20,20,37,33,0,0,0,0,0,0,30,29,39,39,0,0,0,0,0,0,41,37,56,56,0,0,21,29,0,0,0,0,40,29,0,0,0,0,23,19,17,0,0,28,0,0,0,0,42,0,0,19,0,0,23,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,9,1371713848
5556,0,0,0,15,0,0,26,28,29,30,0,0,0,0,0,19,19,35,32,0,0,0,0,0,0,40,34,41,41,0,0,0,14,0,0,39,37,45,46,0,0,0,20,34,0,0,0,0,0,0,0,30,0,27,0,0,0,0,20,33,0,0,28,0,0,21,0,25,0,22,0,0,0,0,21,30,0,0,0,30,0,0,0,0,0,23,17,0,0,0,4864815.285700001,-7457.755499999971,2,207,9,1371713782
5557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,45,0,0,25,24,0,0,38,37,57,57,0,0,0,15,0,0,29,29,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,16,0,0,21,0,0,23,0,17,0,0,0,4864831.2908999985,-7457.927200000732,2,209,9,1371713895
5558,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,20,21,0,0,0,24,30,30,0,0,23,26,25,22,21,15,0,23,23,23,20,20,20,20,0,13,0,0,17,16,0,14,0,0,21,0,0,29,0,16,25,18,0,0,0,16,0,0,20,0,0,0,29,29,0,22,26,15,0,0,0,0,0,21,0,0,0,0,0,23,0,0,25,24,0,4864853.930299997,-7457.242100000381,2,212,9,1371714057
5559,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,22,22,20,0,0,0,0,0,0,0,33,33,39,39,0,0,24,23,0,0,28,22,29,29,0,26,0,0,0,22,0,0,25,0,0,20,0,0,0,26,0,19,19,0,0,0,0,0,24,15,0,29,0,0,0,26,0,19,0,0,0,21,0,0,26,0,0,26,0,0,0,26,0,0,0,4864834.110160768,-7469.328741654754,2,199,9,1371713930
5560,0,0,0,0,0,0,0,0,0,0,0,0,14,18,18,0,0,0,0,22,22,28,28,0,0,0,19,21,21,0,0,17,18,0,22,0,0,27,27,19,0,0,0,13,19,0,0,19,0,0,25,0,24,0,19,22,20,0,0,0,21,0,0,21,0,0,0,0,24,0,0,26,0,0,0,0,0,15,20,0,0,0,21,0,27,0,0,0,0,0,4864852.0842999965,-7458.26419999823,2,210,9,1371714030
5561,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,47,47,29,29,0,0,0,0,0,0,42,42,64,64,0,0,0,0,0,0,30,28,47,47,0,0,0,0,0,17,0,19,0,0,0,0,0,0,0,18,0,0,0,0,0,13,0,20,16,0,0,0,0,17,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,9,1371713989
5565,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,19,0,0,0,0,27,31,30,0,0,24,23,29,28,0,0,0,0,0,20,17,17,25,24,0,0,0,0,0,25,15,0,0,0,0,0,0,27,0,21,30,0,0,0,0,0,17,23,0,0,23,0,0,28,0,18,30,0,0,0,15,21,15,0,0,0,23,22,0,26,0,22,26,0,16,4864853.930299997,-7457.242100000381,2,212,9,1371714708
5658,0,0,0,0,19,19,0,24,45,39,0,0,0,0,0,28,28,41,41,0,0,0,0,32,22,24,23,41,41,0,0,0,0,0,0,43,41,54,54,0,0,0,23,0,0,24,0,0,0,23,0,0,0,18,0,0,0,0,23,0,0,0,0,0,0,22,0,20,0,17,0,0,0,20,23,29,0,27,0,0,0,21,0,0,0,19,17,0,0,0,4864810.030100003,-7460.767900001259,2,205,9,1371713754
5659,0,0,0,15,0,0,26,28,29,30,0,0,0,0,0,19,19,35,37,0,0,0,0,0,0,34,34,40,40,0,0,0,14,0,0,42,43,47,47,0,0,0,20,34,0,23,0,0,0,0,0,30,0,32,0,0,0,0,20,34,0,0,28,0,0,21,0,23,0,22,0,0,0,0,21,34,0,0,0,30,0,0,0,23,0,23,17,0,0,0,4864815.285700001,-7457.755499999971,2,207,9,1371713782
5661,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,46,46,30,29,0,0,0,0,0,0,47,47,55,55,0,0,0,0,0,0,28,28,48,47,0,0,0,0,0,17,0,20,0,0,0,0,0,0,0,18,0,0,0,0,0,13,0,20,16,0,0,0,0,17,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,16,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,9,1371713989
5662,0,22,22,0,0,0,27,27,0,0,23,21,0,0,0,29,24,36,38,0,0,0,0,25,0,35,0,43,43,0,0,0,20,0,0,36,36,56,56,0,27,0,30,0,0,0,15,28,28,0,23,0,0,0,19,0,0,0,30,0,26,0,0,29,32,0,0,0,0,18,0,0,0,0,37,0,33,0,0,29,31,0,0,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,9,1371713820
5663,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,22,22,20,18,0,0,0,0,0,0,33,33,39,39,0,0,23,23,0,0,23,23,27,27,0,26,0,0,0,21,0,0,25,0,0,20,0,0,0,26,21,26,19,0,0,0,0,0,24,15,0,29,0,0,0,26,19,26,0,0,0,21,0,0,26,0,0,26,0,0,0,26,0,0,0,4864834.110160768,-7469.328741654754,2,199,9,1371713929
5664,0,23,26,0,0,0,28,27,0,33,0,0,0,0,0,27,20,42,35,0,0,0,0,0,0,30,32,40,39,0,0,0,0,0,0,38,38,56,56,0,0,21,28,0,0,0,0,25,29,0,0,0,0,23,19,17,0,0,27,0,0,0,0,29,0,0,19,0,0,26,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,9,1371713849
5665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,45,0,0,25,24,0,0,37,37,57,57,0,0,0,15,0,0,29,29,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,18,23,0,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,16,0,0,21,0,0,23,0,17,0,0,0,4864831.2908999985,-7457.927200000732,2,209,9,1371713894
5667,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,19,21,0,0,0,24,30,32,0,0,25,26,25,22,21,15,0,23,25,23,20,16,20,21,0,13,0,0,17,16,0,14,0,0,21,0,0,29,0,16,25,18,0,0,0,16,0,0,18,0,0,0,29,22,0,22,24,15,0,0,0,0,0,21,0,0,0,0,0,22,0,0,25,22,0,4864853.930299997,-7457.242100000381,2,212,9,1371714058
5668,0,0,0,0,0,0,15,0,0,0,0,0,14,18,18,0,0,0,0,22,18,28,28,0,0,0,19,21,21,0,0,17,18,0,22,0,0,28,28,19,0,0,0,13,20,0,0,19,0,0,25,0,24,0,19,23,20,0,0,0,21,0,0,21,0,0,0,0,27,0,19,25,19,0,0,0,0,15,20,0,0,0,21,0,27,0,0,27,0,0,4864852.0842999965,-7458.26419999823,2,210,9,1371714031
5669,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,19,0,0,0,0,27,32,30,0,0,24,23,28,28,0,0,0,0,0,20,17,17,25,26,0,0,0,0,0,25,15,0,0,0,0,0,0,27,0,23,30,0,0,0,0,0,17,23,0,0,23,0,0,28,0,18,30,0,0,0,15,21,15,0,0,0,24,22,0,26,0,22,26,0,16,4864853.930299997,-7457.242100000381,2,212,9,1371714708
5765,0,0,0,0,19,19,0,24,45,39,0,0,0,0,0,31,28,41,41,0,0,0,0,32,22,24,23,41,41,0,0,0,0,0,0,46,46,53,53,0,0,0,23,0,0,24,0,0,0,23,0,0,0,18,0,0,0,0,23,0,0,24,0,0,0,22,0,20,0,17,0,0,0,20,23,29,0,24,21,0,0,22,0,0,0,19,17,0,0,0,4864810.030100003,-7460.767900001259,2,205,9,1371713754
5768,0,0,0,15,16,0,26,28,29,30,0,0,0,0,0,19,19,33,33,0,0,0,0,0,0,34,34,40,39,0,0,0,14,0,0,42,43,47,47,0,0,0,20,31,0,23,0,0,0,0,0,23,0,35,0,0,0,0,20,34,0,0,25,0,0,22,0,26,0,22,0,0,0,0,21,34,16,0,0,30,0,0,0,26,0,23,17,0,0,0,4864815.285700001,-7457.755499999971,2,207,9,1371713782
5769,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,46,45,31,30,0,0,0,0,0,0,43,43,57,57,0,0,0,0,0,0,28,28,48,47,0,0,0,0,0,17,0,20,0,0,0,0,0,0,0,18,0,0,0,0,0,13,0,20,16,0,0,0,0,17,0,16,0,0,0,0,0,0,0,20,0,0,20,0,0,16,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,9,1371713989
5770,0,23,23,0,0,0,28,27,0,33,0,0,0,0,0,27,20,34,34,0,0,0,0,0,0,30,30,40,40,0,0,0,0,0,0,38,38,56,56,0,0,21,31,0,0,0,0,25,29,0,0,0,0,41,19,17,0,0,28,0,0,0,0,29,0,0,19,0,0,22,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,9,1371713849
5771,0,23,23,0,0,0,27,27,0,0,23,21,0,0,0,29,29,34,34,0,0,0,0,25,0,27,0,43,44,0,0,0,20,0,0,36,36,55,55,0,27,0,41,0,26,0,15,42,28,0,23,0,0,0,19,0,23,0,35,0,26,0,0,28,32,0,23,0,0,18,0,0,0,0,37,23,33,0,0,29,31,0,0,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,9,1371713821
5772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,26,26,0,0,25,24,0,0,37,37,59,59,0,0,0,15,0,0,28,28,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,18,23,0,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,17,0,0,21,0,0,23,0,17,0,0,0,4864831.2908999985,-7457.927200000732,2,209,9,1371713895
5773,0,17,16,0,0,0,0,0,0,0,0,21,0,0,0,22,22,20,18,0,0,0,0,0,0,33,33,39,38,0,0,18,23,0,0,23,25,27,27,0,26,0,0,0,21,0,0,21,0,0,27,0,0,0,27,23,29,19,0,0,0,0,0,24,15,0,29,0,0,0,26,19,27,0,0,0,21,0,0,26,0,0,26,0,0,0,26,0,0,0,4864834.110160768,-7469.328741654754,2,199,9,1371713930
5775,0,0,0,0,0,0,15,0,0,0,0,0,14,18,18,0,0,0,0,22,23,28,28,0,0,0,19,21,21,0,0,17,19,19,22,0,0,28,28,19,0,0,0,13,20,0,0,19,0,0,25,0,27,0,20,23,20,0,0,0,21,0,0,21,0,0,0,0,24,0,20,25,19,0,0,0,0,15,20,0,0,0,21,0,24,0,0,27,0,0,4864852.0842999965,-7458.26419999823,2,210,9,1371714031
5776,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,19,0,0,0,0,27,31,30,0,0,24,21,35,34,17,0,0,0,20,19,17,17,25,26,0,0,0,0,0,25,15,0,0,0,0,0,0,29,0,23,30,0,0,0,0,0,17,23,0,0,23,0,0,28,0,18,30,0,0,0,15,22,15,0,0,0,24,22,0,26,0,23,26,0,16,4864853.930299997,-7457.242100000381,2,212,9,1371714707
5777,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,18,20,0,0,0,24,30,30,0,0,25,26,25,22,21,15,0,23,25,23,17,16,20,21,0,15,0,0,17,16,0,14,0,0,21,0,0,23,0,16,25,18,0,0,0,16,0,0,18,0,0,0,29,23,0,22,24,15,0,0,0,0,0,21,20,0,0,0,0,23,0,0,26,22,0,4864853.930299997,-7457.242100000381,2,212,9,1371714057
5875,0,0,0,0,19,19,0,24,29,35,0,0,0,0,0,31,28,41,41,0,0,0,0,32,22,24,23,40,40,0,0,0,0,0,0,47,46,52,52,0,0,0,23,29,0,24,0,0,0,23,0,0,0,18,0,0,0,0,23,0,0,24,0,0,0,22,0,20,0,17,0,0,0,20,23,29,0,24,21,0,0,22,0,0,0,19,17,0,0,0,4864810.030100003,-7460.767900001259,2,205,9,1371713754
5876,0,0,0,15,16,0,26,26,29,30,0,0,0,0,0,19,21,39,38,0,0,0,0,0,0,37,38,40,40,0,0,0,14,0,0,42,42,47,47,0,0,0,20,29,0,23,0,0,0,0,0,23,0,21,0,0,0,0,20,34,0,0,24,0,0,22,0,26,0,23,0,0,0,0,21,34,16,0,0,30,23,0,0,26,0,21,17,0,0,0,4864815.285700001,-7457.755499999971,2,207,9,1371713782
5879,0,23,23,0,0,0,28,27,0,33,0,0,0,0,0,27,20,40,41,0,0,0,0,0,0,26,26,39,39,0,0,0,0,0,0,40,40,58,58,0,0,21,36,0,0,0,0,25,29,0,0,0,0,41,19,17,0,0,28,21,0,0,0,29,22,0,19,0,0,28,0,0,0,0,28,0,0,0,0,27,0,0,0,0,0,25,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,9,1371713849
5880,0,23,23,0,0,0,27,27,0,0,23,21,0,0,0,29,28,34,37,0,0,0,0,25,0,27,0,43,44,0,0,0,19,0,0,38,36,54,54,0,27,0,41,0,26,0,15,42,28,0,23,0,0,0,19,0,23,0,35,0,26,0,19,28,32,0,23,0,0,18,0,0,0,0,37,23,33,0,0,29,31,0,0,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,9,1371713821
5881,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,38,38,25,26,0,0,25,24,0,0,39,40,60,60,0,0,0,15,0,0,28,24,48,48,0,0,0,0,0,0,0,0,0,0,21,0,0,21,0,18,23,0,0,0,0,0,0,0,0,0,21,0,0,21,0,18,0,0,0,0,0,0,0,17,0,0,21,0,0,23,0,17,0,0,0,4864831.2908999985,-7457.927200000732,2,209,9,1371713896
5882,0,17,16,0,0,0,0,0,0,0,0,21,0,0,0,26,27,20,18,0,0,0,0,0,0,33,26,38,37,0,0,18,23,0,0,22,22,28,28,0,25,0,0,0,21,0,0,21,0,0,27,0,0,0,27,23,25,19,0,0,0,0,0,25,15,0,29,0,0,0,27,19,26,0,0,0,21,0,0,26,0,0,26,0,0,0,27,0,0,0,4864834.110160768,-7469.328741654754,2,199,9,1371713930
5883,0,0,0,0,0,0,15,0,0,0,0,0,14,18,19,20,0,0,0,22,23,27,27,0,0,20,20,25,30,0,0,17,19,21,30,0,0,29,29,19,0,0,0,13,20,0,0,19,0,16,22,0,25,0,20,23,20,0,0,0,18,0,0,21,0,0,0,0,27,0,20,23,19,0,0,0,0,15,20,0,0,0,21,0,27,0,0,27,0,0,4864852.0842999965,-7458.26419999823,2,210,9,1371714031
5885,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,20,20,0,0,0,24,30,31,0,0,25,26,25,22,18,15,0,23,25,23,18,18,21,21,0,18,0,0,17,16,0,14,0,0,22,0,0,23,0,16,25,18,0,0,0,16,0,0,20,0,0,0,29,29,0,22,24,15,0,0,0,0,0,21,20,0,0,0,0,29,0,0,26,22,0,4864853.930299997,-7457.242100000381,2,212,9,1371714058
5886,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,19,0,0,0,22,27,31,30,0,0,23,21,35,35,17,21,0,0,20,19,17,17,27,26,0,0,0,0,0,25,15,0,0,0,0,0,0,24,0,23,30,0,0,0,0,0,17,23,0,0,19,0,0,28,0,18,30,0,0,0,15,26,15,0,18,0,24,22,0,26,0,20,26,20,16,4864853.930299997,-7457.242100000381,2,212,9,1371714707
5887,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,46,46,30,30,0,0,0,0,0,0,43,43,64,64,0,0,0,0,16,0,27,24,47,47,0,0,0,0,0,17,0,20,0,0,0,0,0,0,0,18,0,0,0,0,0,13,0,20,16,13,0,0,0,17,0,16,0,0,0,0,0,0,0,20,0,0,20,0,0,19,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,9,1371713990
5985,0,22,23,0,0,0,27,29,0,0,23,16,0,0,0,29,25,35,36,0,0,0,0,25,0,25,27,43,43,0,0,0,19,0,0,37,37,56,56,0,27,0,41,0,26,0,15,44,34,0,23,0,0,0,19,0,23,0,30,0,26,0,19,29,32,0,23,0,0,18,0,0,0,0,30,23,33,0,0,29,31,0,0,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,9,1371713821
5986,0,0,0,15,16,0,26,26,29,30,0,0,0,0,0,19,21,33,33,0,0,0,0,0,0,34,33,40,40,0,0,0,14,0,0,43,42,49,48,0,0,0,20,30,0,23,26,0,0,0,0,23,0,38,0,0,0,0,20,34,0,0,24,0,0,22,0,26,0,23,0,0,0,0,21,34,16,0,0,30,23,0,0,22,0,21,17,0,0,0,4864815.285700001,-7457.755499999971,2,207,9,1371713783
5988,0,0,0,0,19,19,0,24,29,35,0,0,0,0,0,32,31,37,35,0,0,0,0,32,22,27,27,40,40,0,0,0,0,0,0,46,45,57,57,0,0,0,23,27,0,29,0,0,0,23,0,0,0,18,0,0,0,0,23,0,0,24,0,0,0,22,0,20,0,17,0,0,0,20,23,29,0,24,21,0,0,22,0,0,0,19,17,0,0,0,4864810.030100003,-7460.767900001259,2,205,9,1371713755
5989,0,17,23,0,0,0,0,0,0,0,0,21,0,0,0,26,27,20,18,0,0,0,0,0,0,33,26,39,38,0,0,24,25,0,0,21,24,28,29,0,25,0,0,0,21,0,0,21,0,0,27,0,0,0,27,24,25,19,0,0,0,0,0,25,15,0,20,0,0,0,26,19,26,0,0,0,21,0,0,26,16,0,27,0,0,0,27,0,0,0,4864834.110160768,-7469.328741654754,2,199,9,1371713931
5990,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,45,45,25,24,0,0,35,24,0,0,37,38,60,60,0,0,0,15,0,0,30,30,46,46,0,0,0,0,0,0,0,0,0,0,23,0,0,21,0,18,23,0,0,0,0,0,0,0,0,0,21,0,0,20,0,18,0,15,0,0,0,0,0,17,0,0,22,0,0,23,0,17,0,0,0,4864831.2908999985,-7457.927200000732,2,209,9,1371713896
5991,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,44,44,31,31,0,0,0,0,0,0,47,47,61,61,0,0,0,0,16,0,27,25,47,47,0,0,0,0,0,17,0,20,0,0,0,0,0,0,0,18,0,0,0,0,0,13,0,20,16,13,0,0,0,17,0,16,0,0,0,0,0,0,0,20,0,0,20,0,0,16,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,9,1371713990
5992,0,30,23,0,15,0,28,27,0,33,0,0,0,0,0,27,20,34,34,0,0,0,0,0,0,29,31,39,39,0,0,0,0,0,0,41,41,55,54,0,0,21,36,0,0,0,0,25,29,0,0,0,0,24,19,17,0,0,27,21,0,0,0,29,22,0,19,0,0,22,0,0,0,0,28,0,0,0,0,44,0,0,0,0,0,25,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,9,1371713849
5993,0,0,0,0,0,0,15,0,0,0,0,0,14,18,19,20,0,0,0,22,23,28,28,0,0,20,20,28,31,0,0,17,19,25,30,16,16,28,29,19,17,0,0,13,20,0,16,19,0,16,22,0,25,0,20,25,20,0,0,0,18,0,0,21,0,0,0,0,27,0,20,23,19,0,0,0,0,15,20,0,0,0,21,0,24,0,0,27,0,0,4864852.0842999965,-7458.26419999823,2,210,9,1371714032
5996,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,20,20,0,0,0,24,30,32,0,0,25,26,25,26,18,15,0,23,22,23,18,18,21,19,0,18,0,0,17,16,0,14,0,0,22,0,0,23,0,16,25,18,0,0,0,23,0,0,20,0,22,0,29,29,0,22,24,15,0,0,0,0,0,21,20,0,0,0,0,29,0,0,26,22,0,4864853.930299997,-7457.242100000381,2,212,9,1371714058
5997,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,19,0,0,0,21,27,31,30,0,0,21,21,35,35,17,21,0,0,20,19,17,17,26,27,0,0,0,0,0,25,15,0,0,0,0,0,0,24,0,23,30,0,0,0,0,0,17,23,0,0,19,0,0,28,0,18,30,0,0,0,15,22,15,0,18,0,24,22,0,26,0,23,26,20,16,4864853.930299997,-7457.242100000381,2,212,9,1371714708
6094,0,16,0,0,19,19,0,24,34,34,0,0,0,0,0,38,32,40,41,0,0,0,0,32,22,25,25,40,40,0,0,0,0,0,0,46,46,53,53,0,0,0,31,27,0,29,0,0,0,23,0,0,0,17,0,0,0,0,23,0,0,24,0,0,0,22,0,20,0,17,0,0,0,20,23,29,0,24,21,0,0,22,0,0,0,19,17,0,0,0,4864810.030100003,-7460.767900001259,2,205,9,1371713755
6095,0,0,0,15,16,0,26,26,29,30,0,0,0,0,0,22,26,36,36,0,0,0,0,0,0,36,37,40,40,0,0,0,14,0,0,43,43,49,49,0,0,0,20,31,0,23,26,0,0,0,0,23,0,37,0,0,0,0,20,34,0,0,24,0,0,22,0,26,0,22,0,0,0,0,21,34,16,0,0,30,23,0,0,22,0,39,17,0,0,0,4864815.285700001,-7457.755499999971,2,207,9,1371713783
6097,0,22,23,0,0,0,27,29,0,0,23,16,0,0,0,24,24,37,38,0,0,0,0,25,0,25,25,45,46,0,0,0,19,0,0,37,37,57,63,0,27,0,30,0,26,0,15,44,34,0,23,0,0,0,19,0,23,0,34,0,26,0,19,29,28,0,23,0,0,18,0,0,0,0,30,23,33,0,0,29,31,0,32,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,9,1371713822
6099,0,15,15,0,0,0,0,0,0,14,0,0,0,0,0,43,43,31,31,0,0,0,0,0,0,47,42,63,63,0,0,0,0,16,0,31,27,46,45,0,0,0,0,0,17,0,20,0,0,0,0,0,16,0,18,0,0,0,0,0,13,0,20,16,13,0,0,0,17,0,16,0,0,0,0,0,0,0,20,0,0,20,0,0,16,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,9,1371713990
6100,0,30,23,0,15,0,28,27,0,23,0,0,0,0,0,27,24,34,34,0,0,0,0,0,0,32,31,39,38,0,0,0,0,0,0,41,30,55,55,0,0,21,36,0,0,0,0,25,23,0,0,0,0,24,19,17,0,0,27,21,0,0,16,29,23,0,20,0,0,22,0,0,0,0,31,0,0,0,0,44,28,0,0,0,0,25,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,9,1371713850
6101,0,17,23,0,0,0,0,0,0,0,0,21,0,0,0,27,24,20,18,0,0,0,0,0,0,27,26,37,37,0,0,24,25,0,0,23,23,28,29,0,22,0,0,0,21,0,0,21,0,0,27,0,0,0,27,24,20,19,0,0,0,0,0,21,15,0,20,0,0,0,27,19,27,0,0,0,21,0,0,26,16,0,28,0,0,0,27,0,0,0,4864834.110160768,-7469.328741654754,2,199,9,1371713931
6102,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,45,45,25,24,0,0,35,24,0,0,37,36,60,60,0,0,0,15,0,0,25,25,48,48,0,0,0,0,0,0,0,0,0,0,23,0,0,21,0,18,23,0,0,0,0,0,0,0,0,0,23,0,0,20,0,18,0,15,0,0,0,0,0,17,0,0,21,0,0,23,0,17,0,0,0,4864831.2908999985,-7457.927200000732,2,209,9,1371713896
6104,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,19,19,0,0,0,24,30,32,0,0,25,22,25,25,18,21,0,23,24,27,16,18,21,19,0,14,0,0,17,16,0,14,0,0,22,0,0,23,0,16,26,18,0,0,0,23,0,0,20,0,22,0,29,29,0,22,25,15,0,0,0,0,0,21,18,0,0,0,0,23,0,0,26,22,0,4864853.930299997,-7457.242100000381,2,212,9,1371714059
6105,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,21,0,0,0,25,22,29,29,0,0,21,21,35,35,17,21,0,0,18,19,17,17,27,27,0,0,0,0,0,25,15,21,0,0,20,0,0,24,0,23,30,0,0,0,0,21,17,23,17,0,19,0,0,28,0,22,27,0,0,0,15,22,15,0,18,0,24,22,0,26,0,23,26,20,16,4864853.930299997,-7457.242100000381,2,212,9,1371714709
6106,0,0,0,0,0,0,15,0,0,0,0,0,14,18,19,20,0,0,0,22,23,30,30,0,0,28,20,31,31,19,19,17,19,20,20,15,16,28,28,19,17,0,0,13,20,0,16,19,0,16,22,0,25,0,22,25,20,0,0,0,18,0,0,21,0,0,0,0,27,0,22,23,19,0,0,0,0,15,20,0,0,0,21,0,24,0,23,27,0,0,4864852.0842999965,-7458.26419999823,2,210,9,1371714032
